utterance_id	speaker_id
Artur-J-Gvecg-P500016.u17	Artur-J-G3018
Artur-J-Gvecg-P500016.u19	Artur-J-G3018
Artur-J-Gvecg-P500016.u2	Artur-J-G3018
Artur-J-Gvecg-P500016.u20	Artur-J-G3025
Artur-J-Gvecg-P500016.u22	Artur-J-G3018
Artur-J-Gvecg-P500016.u24	Artur-J-G3018
Artur-J-Gvecg-P500016.u25	Artur-J-G3025
Artur-J-Gvecg-P500016.u26	Artur-J-G3018
Artur-J-Gvecg-P500016.u27	Artur-J-G3025
Artur-J-Gvecg-P500016.u28	Artur-J-G3018
Artur-J-Gvecg-P500016.u29	Artur-J-G3018
Artur-J-Gvecg-P500016.u3	Artur-J-G3025
Artur-J-Gvecg-P500016.u31	Artur-J-G3018
Artur-J-Gvecg-P500016.u32	Artur-J-G3025
Artur-J-Gvecg-P500016.u34	Artur-J-G3018
Artur-J-Gvecg-P500016.u4	Artur-J-G3018
Artur-J-Gvecg-P500016.u6	Artur-J-G3018
Artur-J-Gvecg-P500016.u8	Artur-J-G3018
Artur-J-Gvecg-P500020.u1	Artur-J-G3041
Artur-J-Gvecg-P500020.u10	Artur-J-G3039
Artur-J-Gvecg-P500020.u12	Artur-J-G3039
Artur-J-Gvecg-P500020.u13	Artur-J-G3041
Artur-J-Gvecg-P500020.u15	Artur-J-G3041
Artur-J-Gvecg-P500020.u17	Artur-J-G3039
Artur-J-Gvecg-P500020.u18	Artur-J-G3041
Artur-J-Gvecg-P500020.u19	Artur-J-G3038
Artur-J-Gvecg-P500020.u21	Artur-J-G3038
Artur-J-Gvecg-P500020.u23	Artur-J-G3038
Artur-J-Gvecg-P500020.u25	Artur-J-G3038
Artur-J-Gvecg-P500020.u26	Artur-J-G3041
Artur-J-Gvecg-P500020.u27	Artur-J-G3038
Artur-J-Gvecg-P500020.u29	Artur-J-G3038
Artur-J-Gvecg-P500020.u3	Artur-J-G3035
Artur-J-Gvecg-P500020.u31	Artur-J-G3038
Artur-J-Gvecg-P500020.u33	Artur-J-G3038
Artur-J-Gvecg-P500020.u35	Artur-J-G3035
Artur-J-Gvecg-P500020.u36	Artur-J-G3038
Artur-J-Gvecg-P500020.u37	Artur-J-G3035
Artur-J-Gvecg-P500020.u39	Artur-J-G3038
Artur-J-Gvecg-P500020.u4	Artur-J-G3039
Artur-J-Gvecg-P500020.u40	Artur-J-G3040
Artur-J-Gvecg-P500020.u42	Artur-J-G3040
Artur-J-Gvecg-P500020.u44	Artur-J-G3040
Artur-J-Gvecg-P500020.u46	Artur-J-G3040
Artur-J-Gvecg-P500020.u47	Artur-J-G3038
Artur-J-Gvecg-P500020.u48	Artur-J-G3039
Artur-J-Gvecg-P500020.u6	Artur-J-G3039
Artur-J-Gvecg-P500020.u7	Artur-J-G3041
Artur-J-Gvecg-P500020.u9	Artur-J-G3041
Artur-J-Gvecg-P500021.u1	Artur-J-G3047
Artur-J-Gvecg-P500021.u3	Artur-J-G3047
Artur-J-Gvecg-P500021.u5	Artur-J-G3047
Artur-J-Gvecg-P500021.u7	Artur-J-G3047
Artur-J-Gvecg-P500021.u9	Artur-J-G3047
Artur-J-Gvecg-P500024.u10	Artur-J-G3052
Artur-J-Gvecg-P500024.u12	Artur-J-G3052
Artur-J-Gvecg-P500024.u14	Artur-J-G3050
Artur-J-Gvecg-P500024.u16	Artur-J-G3050
Artur-J-Gvecg-P500024.u18	Artur-J-G3052
Artur-J-Gvecg-P500024.u2	Artur-J-G3052
Artur-J-Gvecg-P500024.u4	Artur-J-G3052
Artur-J-Gvecg-P500024.u6	Artur-J-G3052
Artur-J-Gvecg-P500024.u8	Artur-J-G3051
Artur-J-Gvecg-P500025.u1	Artur-J-G3053
Artur-J-Gvecg-P500025.u11	Artur-J-G3054
Artur-J-Gvecg-P500025.u13	Artur-J-G3054
Artur-J-Gvecg-P500025.u15	Artur-J-G3054
Artur-J-Gvecg-P500025.u17	Artur-J-G3054
Artur-J-Gvecg-P500025.u19	Artur-J-G3054
Artur-J-Gvecg-P500025.u21	Artur-J-G3054
Artur-J-Gvecg-P500025.u23	Artur-J-G3054
Artur-J-Gvecg-P500025.u25	Artur-J-G3054
Artur-J-Gvecg-P500025.u27	Artur-J-G3054
Artur-J-Gvecg-P500025.u3	Artur-J-G3054
Artur-J-Gvecg-P500025.u5	Artur-J-G3054
Artur-J-Gvecg-P500025.u7	Artur-J-G3054
Artur-J-Gvecg-P500025.u9	Artur-J-G3054
Artur-J-Gvecg-P500026.u10	Artur-J-G3057
Artur-J-Gvecg-P500026.u12	Artur-J-G3056
